2022-05-16 07:05:744 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (62f966ae8b0fc91f4ede402e0269f76d)] -> xpath: //button[@id='register-button']]
2022-05-16 08:05:499 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 08:05:195 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (1bc3956cfcb09246697e799aa908ebb0)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 08:05:220 INFO  RegisterPage :46 - Click on register button :[[ChromeDriver: chrome on WINDOWS (1bc3956cfcb09246697e799aa908ebb0)] -> xpath: //button[@id='register-button']]
2022-05-16 08:05:101 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 08:05:743 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (09cbf60545e67e09736ee0e0b50fd34a)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 08:05:765 INFO  RegisterPage :46 - Click on register button :[[ChromeDriver: chrome on WINDOWS (09cbf60545e67e09736ee0e0b50fd34a)] -> xpath: //button[@id='register-button']]
2022-05-16 08:05:628 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 08:05:463 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (5c94fe78087eb526d26dfbbdda5cbd8c)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 08:05:488 INFO  RegisterPage :46 - Click on register button :[[ChromeDriver: chrome on WINDOWS (5c94fe78087eb526d26dfbbdda5cbd8c)] -> xpath: //button[@id='register-button']]
2022-05-16 08:05:380 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 08:05:956 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (e0add42799321c670d890686daa13ba1)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 08:05:972 INFO  RegisterPage :46 - Click on register button :[[ChromeDriver: chrome on WINDOWS (e0add42799321c670d890686daa13ba1)] -> xpath: //button[@id='register-button']]
2022-05-16 08:05:858 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 08:05:411 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (ca0503f54b894c4dcca34c7f8f38f315)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 08:05:436 INFO  RegisterPage :46 - Click on register button :[[ChromeDriver: chrome on WINDOWS (ca0503f54b894c4dcca34c7f8f38f315)] -> xpath: //button[@id='register-button']]
